skill_id,domain_slug,domain_label,domain_function,owner_role,capability,skill_name,description,business_requirement,trigger_signal,primary_output,success_metric,priority_tier,automation_level,prompt_seed
S0001,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Strategy Map,executive-strategy-map,Automate strategy map workflows for Executive Leadership.,Build and maintain a quarterly strategy map for executive leadership and company direction.,A new planning cycle starts in Executive Leadership.,"A ranked strategy map with owners, risks, and milestones.",Strategic initiative on-time completion rate.,P1,L3,Act as a top-tier chief executive operator and execute Strategy Map for Executive Leadership.
S0002,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Goal Tree,executive-goal-tree,Automate goal tree workflows for Executive Leadership.,Translate company goals into a measurable goal tree for executive leadership and company direction.,Leadership asks for clearer KPI alignment in Executive Leadership.,A goal tree mapping company goals to team KPIs.,Percent of KPIs traceable to company goals.,P1,L3,Act as a top-tier chief executive operator and execute Goal Tree for Executive Leadership.
S0003,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Operating Plan,executive-operating-plan,Automate operating plan workflows for Executive Leadership.,Create a 90-day operating plan for executive leadership and company direction.,A team needs a quarter execution plan in Executive Leadership.,A 90-day operating plan with dependencies and deadlines.,Plan execution completion rate by milestone.,P1,L3,Act as a top-tier chief executive operator and execute Operating Plan for Executive Leadership.
S0004,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Budget Allocator,executive-budget-allocator,Automate budget allocator workflows for Executive Leadership.,Allocate budget across initiatives in executive leadership and company direction using expected impact.,Budget planning or reforecast is requested for Executive Leadership.,Budget allocation table with expected ROI per initiative.,Variance between expected and realized ROI.,P1,L3,Act as a top-tier chief executive operator and execute Budget Allocator for Executive Leadership.
S0005,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Hiring Plan,executive-hiring-plan,Automate hiring plan workflows for Executive Leadership.,Define a hiring plan that supports priority outcomes in executive leadership and company direction.,Headcount planning is requested for Executive Leadership.,"Role plan with timing, scorecards, and hiring owner.",Time-to-fill and quality-of-hire against target.,P1,L3,Act as a top-tier chief executive operator and execute Hiring Plan for Executive Leadership.
S0006,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Roadmap Prioritization,executive-roadmap-prioritization,Automate roadmap prioritization workflows for Executive Leadership.,Prioritize work in executive leadership and company direction with clear cost-impact tradeoffs.,Backlog grows beyond delivery capacity in Executive Leadership.,Prioritized roadmap with rationale and cut lines.,High-priority delivery rate and cycle-time stability.,P1,L3,Act as a top-tier chief executive operator and execute Roadmap Prioritization for Executive Leadership.
S0007,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Workflow Design,executive-workflow-design,Automate workflow design workflows for Executive Leadership.,Design a standard workflow for repeatable work in executive leadership and company direction.,Manual handoffs cause delays in Executive Leadership.,"Workflow spec with states, owners, and SLAs.",Workflow cycle-time reduction after rollout.,P1,L3,Act as a top-tier chief executive operator and execute Workflow Design for Executive Leadership.
S0008,executive,Executive Leadership,executive leadership and company direction,chief executive operator,SOP Library,executive-sop-library,Automate sop library workflows for Executive Leadership.,Create and maintain SOPs for critical motions in executive leadership and company direction.,Execution quality varies across operators in Executive Leadership.,Versioned SOP library with audit history.,SOP adoption rate and defect reduction.,P1,L3,Act as a top-tier chief executive operator and execute SOP Library for Executive Leadership.
S0009,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Automation Backlog,executive-automation-backlog,Automate automation backlog workflows for Executive Leadership.,Build an automation backlog ranked by impact in executive leadership and company direction.,The team asks what to automate next in Executive Leadership.,"Automation backlog with effort, risk, and impact score.",Manual hours removed per sprint.,P1,L3,Act as a top-tier chief executive operator and execute Automation Backlog for Executive Leadership.
S0010,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Agent Orchestration,executive-agent-orchestration,Automate agent orchestration workflows for Executive Leadership.,Orchestrate AI agents for high-volume workflows in executive leadership and company direction.,Workload spikes require parallel automation in Executive Leadership.,Agent workflow graph with fallback and retry policy.,Autonomous completion rate without human escalation.,P1,L3,Act as a top-tier chief executive operator and execute Agent Orchestration for Executive Leadership.
S0011,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Data Contracts,executive-data-contracts,Automate data contracts workflows for Executive Leadership.,Define enforceable data contracts used by executive leadership and company direction.,Upstream data changes repeatedly break workflows in Executive Leadership.,Data contract registry with schema and ownership.,Data contract violation rate.,P2,L4,Act as a top-tier chief executive operator and execute Data Contracts for Executive Leadership.
S0012,executive,Executive Leadership,executive leadership and company direction,chief executive operator,KPI Dashboard,executive-kpi-dashboard,Automate kpi dashboard workflows for Executive Leadership.,Build a live KPI dashboard for executive leadership and company direction.,Leaders ask for real-time visibility in Executive Leadership.,Automated KPI dashboard with drill-downs.,Dashboard freshness and decision adoption rate.,P2,L4,Act as a top-tier chief executive operator and execute KPI Dashboard for Executive Leadership.
S0013,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Anomaly Detection,executive-anomaly-detection,Automate anomaly detection workflows for Executive Leadership.,Monitor metrics and detect anomalies in executive leadership and company direction.,Unexpected swings are observed in Executive Leadership KPIs.,Alert pipeline with anomaly diagnostics.,Mean time to detect KPI anomalies.,P2,L4,Act as a top-tier chief executive operator and execute Anomaly Detection for Executive Leadership.
S0014,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Forecast Engine,executive-forecast-engine,Automate forecast engine workflows for Executive Leadership.,Forecast outcomes for executive leadership and company direction with confidence bands.,Planning requires forward-looking estimates in Executive Leadership.,Rolling forecast with scenario assumptions.,Forecast accuracy against actual outcomes.,P2,L4,Act as a top-tier chief executive operator and execute Forecast Engine for Executive Leadership.
S0015,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Scenario Planning,executive-scenario-planning,Automate scenario planning workflows for Executive Leadership.,Model best/base/worst scenarios for executive leadership and company direction.,A major decision requires downside analysis in Executive Leadership.,Scenario plan with trigger thresholds.,Decision lead time under uncertainty.,P2,L4,Act as a top-tier chief executive operator and execute Scenario Planning for Executive Leadership.
S0016,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Experiment Design,executive-experiment-design,Automate experiment design workflows for Executive Leadership.,Design statistically sound experiments for executive leadership and company direction.,Competing hypotheses need validation in Executive Leadership.,Experiment protocol with success criteria.,Experiment velocity and decision quality.,P2,L4,Act as a top-tier chief executive operator and execute Experiment Design for Executive Leadership.
S0017,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Experiment Analysis,executive-experiment-analysis,Automate experiment analysis workflows for Executive Leadership.,Analyze experiment results and recommend actions for executive leadership and company direction.,An experiment cycle closes in Executive Leadership.,Experiment readout with confidence and next action.,Time from experiment end to decision.,P2,L4,Act as a top-tier chief executive operator and execute Experiment Analysis for Executive Leadership.
S0018,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Customer Insight Mining,executive-customer-insight-mining,Automate customer insight mining workflows for Executive Leadership.,Mine customer signals and extract priorities for executive leadership and company direction.,Signal volume from customers exceeds manual review in Executive Leadership.,Insight brief with ranked customer themes.,Insight-to-action conversion rate.,P2,L4,Act as a top-tier chief executive operator and execute Customer Insight Mining for Executive Leadership.
S0019,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Quality Gates,executive-quality-gates,Automate quality gates workflows for Executive Leadership.,Define and enforce quality gates for executive leadership and company direction.,Defect rates exceed tolerance in Executive Leadership.,Quality gate policy with pass/fail thresholds.,Defects escaped beyond gate per period.,P2,L4,Act as a top-tier chief executive operator and execute Quality Gates for Executive Leadership.
S0020,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Incident Response,executive-incident-response,Automate incident response workflows for Executive Leadership.,Run incident triage and response workflows for executive leadership and company direction.,A service or process incident hits Executive Leadership.,"Incident timeline, owner matrix, and resolution plan.",Mean time to resolve incidents.,P2,L4,Act as a top-tier chief executive operator and execute Incident Response for Executive Leadership.
S0021,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Risk Register,executive-risk-register,Automate risk register workflows for Executive Leadership.,Maintain a live risk register for executive leadership and company direction.,New dependencies or threats emerge in Executive Leadership.,"Risk register with severity, owner, and mitigation.",Open high-risk items older than SLA.,P2,L4,Act as a top-tier chief executive operator and execute Risk Register for Executive Leadership.
S0022,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Compliance Controls,executive-compliance-controls,Automate compliance controls workflows for Executive Leadership.,Automate evidence collection and controls for executive leadership and company direction.,Audit preparation starts in Executive Leadership.,Control checklist with linked evidence.,Control pass rate and audit findings count.,P2,L4,Act as a top-tier chief executive operator and execute Compliance Controls for Executive Leadership.
S0023,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Vendor Selection,executive-vendor-selection,Automate vendor selection workflows for Executive Leadership.,Run a structured vendor selection process for executive leadership and company direction.,A new tool or service is needed in Executive Leadership.,Vendor comparison with weighted scoring.,Post-selection satisfaction and time-to-value.,P2,L4,Act as a top-tier chief executive operator and execute Vendor Selection for Executive Leadership.
S0024,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Vendor Scorecard,executive-vendor-scorecard,Automate vendor scorecard workflows for Executive Leadership.,Monitor vendor performance supporting executive leadership and company direction.,Current vendors underperform against expectations in Executive Leadership.,Vendor scorecard with SLA and risk trend.,Vendor SLA adherence rate.,P2,L4,Act as a top-tier chief executive operator and execute Vendor Scorecard for Executive Leadership.
S0025,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Knowledge Management,executive-knowledge-management,Automate knowledge management workflows for Executive Leadership.,Build a searchable knowledge layer for executive leadership and company direction.,Repeated questions create drag in Executive Leadership.,Indexed knowledge base with freshness policy.,Knowledge reuse rate and answer latency.,P2,L4,Act as a top-tier chief executive operator and execute Knowledge Management for Executive Leadership.
S0026,executive,Executive Leadership,executive leadership and company direction,chief executive operator,Weekly Business Review,executive-weekly-business-review,Automate weekly business review workflows for Executive Leadership.,Automate weekly business review preparation for executive leadership and company direction.,Weekly review cadence runs in Executive Leadership.,WBR packet with KPI deltas and decisions needed.,Review prep time and action closure rate.,P3,L5,Act as a top-tier chief executive operator and execute Weekly Business Review for Executive Leadership.
