=== Red 召回活動第一版分析 ===
分析時間: Mon Feb  2 20:40:29 CST 2026

=== 1. 召回目標整體存款趨勢 (1/20-2/2) ===
dt	active	depositors	deposit	bet	withdraw
2026-01-20	1229	723	448304	3480908	353087
2026-01-21	1084	611	321590	2591533	256363
2026-01-22	976	604	303235	2383673	210893
2026-01-23	639	358	240492	1983945	197608
2026-01-24	496	278	195161	1476512	115903
2026-01-25	313	146	67051	648183	43705
2026-01-28	1	1	100	0	0
2026-01-30	513	409	184903	1437920	136222
2026-01-31	925	473	241623	1879669	177019
2026-02-01	849	221	132621	1369358	139644
2026-02-02	486	154	125556	1035942	146015

=== 2. Sheet1 首充流失組 (2/1-2/2 回流) ===
feb_depositors	feb_deposit	feb_active	jan_depositors	jan_deposit
171	271630	729	6620	7020355

=== 3. Sheet2 活躍流失組 (2/1-2/2 回流) ===
feb_depositors	feb_deposit	feb_active	jan_depositors	jan_deposit
171	129347	381	2153	2421303

=== 4. 回流玩家 TOP20 (2/1後有存款) ===
player_id	feb_deposit	feb_bet
20025230	27550	184402
56640579	10100	25042
43133251	9500	144555
61643026	6500	39419
83887727	6341	10800
43934304	6212	9956
20054866	6200	37620
75200798	5160	58191
91633427	5000	13019
38587521	5000	7320
39358280	5000	24230
82845906	4300	27999
85626299	4100	30718
32871120	4000	12150
15418384	4000	18736
20547299	4000	16151
15871454	4000	8993
87547153	3700	7064
36102881	3700	27493
78986200	3700	12507

=== 分析完成 ===
